"pkg","ver","src","desc"
"A3","0.9.1","Archive/A3/A3_0.9.1.tar.gz","A3_0.9.1.dcf"
"A3","0.9.2","A3_0.9.2.tar.gz","A3_0.9.2.dcf"
"aaMI","1.0-0","Archive/aaMI/aaMI_1.0-0.tar.gz","aaMI_1.0-0.dcf"
"aaMI","1.0-1","Archive/aaMI/aaMI_1.0-1.tar.gz","aaMI_1.0-1.dcf"
"abc","1.0","Archive/abc/abc_1.0.tar.gz","abc_1.0.dcf"
"abc","1.1","Archive/abc/abc_1.1.tar.gz","abc_1.1.dcf"
"abc","1.2","Archive/abc/abc_1.2.tar.gz","abc_1.2.dcf"
"abc","1.3","Archive/abc/abc_1.3.tar.gz","abc_1.3.dcf"
"abc","1.4","Archive/abc/abc_1.4.tar.gz","abc_1.4.dcf"
"abc","1.5","Archive/abc/abc_1.5.tar.gz","abc_1.5.dcf"
"abc","1.6","Archive/abc/abc_1.6.tar.gz","abc_1.6.dcf"
"abc","1.7","Archive/abc/abc_1.7.tar.gz","abc_1.7.dcf"
"abc","1.8","abc_1.8.tar.gz","abc_1.8.dcf"
"abcdeFBA","0.1","Archive/abcdeFBA/abcdeFBA_0.1.tar.gz","abcdeFBA_0.1.dcf"
"abcdeFBA","0.2","Archive/abcdeFBA/abcdeFBA_0.2.tar.gz","abcdeFBA_0.2.dcf"
"abcdeFBA","0.3","Archive/abcdeFBA/abcdeFBA_0.3.tar.gz","abcdeFBA_0.3.dcf"
"abcdeFBA","0.4","abcdeFBA_0.4.tar.gz","abcdeFBA_0.4.dcf"
"ABCExtremes","1.0","ABCExtremes_1.0.tar.gz","ABCExtremes_1.0.dcf"
"ABCoptim","0.13.10","Archive/ABCoptim/ABCoptim_0.13.10.tar.gz","ABCoptim_0.13.10.dcf"
"ABCoptim","0.13.11","ABCoptim_0.13.11.tar.gz","ABCoptim_0.13.11.dcf"
"ABCp2","1.0","Archive/ABCp2/ABCp2_1.0.tar.gz","ABCp2_1.0.dcf"
"ABCp2","1.1","ABCp2_1.1.tar.gz","ABCp2_1.1.dcf"
"abctools","0.1-2","Archive/abctools/abctools_0.1-2.tar.gz","abctools_0.1-2.dcf"
"abctools","0.2","Archive/abctools/abctools_0.2.tar.gz","abctools_0.2.dcf"
"abctools","0.2-2","abctools_0.2-2.tar.gz","abctools_0.2-2.dcf"
"abd","0.1-12","Archive/abd/abd_0.1-12.tar.gz","abd_0.1-12.dcf"
"abd","0.1-18","Archive/abd/abd_0.1-18.tar.gz","abd_0.1-18.dcf"
"abd","0.1-21","Archive/abd/abd_0.1-21.tar.gz","abd_0.1-21.dcf"
"abd","0.1-22","Archive/abd/abd_0.1-22.tar.gz","abd_0.1-22.dcf"
"abd","0.2-2","Archive/abd/abd_0.2-2.tar.gz","abd_0.2-2.dcf"
"abd","0.2-4","Archive/abd/abd_0.2-4.tar.gz","abd_0.2-4.dcf"
"abd","0.2-5","abd_0.2-5.tar.gz","abd_0.2-5.dcf"
"abf2","0.7-0","abf2_0.7-0.tar.gz","abf2_0.7-0.dcf"
"abind","1.0-1","Archive/abind/abind_1.0-1.tar.gz","abind_1.0-1.dcf"
"abind","1.0","Archive/abind/abind_1.0.tar.gz","abind_1.0.dcf"
"abind","1.1-0","Archive/abind/abind_1.1-0.tar.gz","abind_1.1-0.dcf"
"abind","1.3-0","Archive/abind/abind_1.3-0.tar.gz","abind_1.3-0.dcf"
"abind","1.4-0","abind_1.4-0.tar.gz","abind_1.4-0.dcf"
"aBioMarVsuit","1.0","Archive/aBioMarVsuit/aBioMarVsuit_1.0.tar.gz","aBioMarVsuit_1.0.dcf"
"abn","0.3-1","Archive/abn/abn_0.3-1.tar.gz","abn_0.3-1.dcf"
"abn","0.5-1","Archive/abn/abn_0.5-1.tar.gz","abn_0.5-1.dcf"
"abn","0.7","Archive/abn/abn_0.7.tar.gz","abn_0.7.dcf"
"abn","0.82","Archive/abn/abn_0.82.tar.gz","abn_0.82.dcf"
"abn","0.8","Archive/abn/abn_0.8.tar.gz","abn_0.8.dcf"
"abn","0.83","abn_0.83.tar.gz","abn_0.83.dcf"
"abundant","1.0","abundant_1.0.tar.gz","abundant_1.0.dcf"
"accelerometry","1.0","Archive/accelerometry/accelerometry_1.0.tar.gz","accelerometry_1.0.dcf"
"accelerometry","2.0","accelerometry_2.0.tar.gz","accelerometry_2.0.dcf"
"AcceptanceSampling","0.1-1","Archive/AcceptanceSampling/AcceptanceSampling_0.1-1.tar.gz","AcceptanceSampling_0.1-1.dcf"
"AcceptanceSampling","0.1-4","Archive/AcceptanceSampling/AcceptanceSampling_0.1-4.tar.gz","AcceptanceSampling_0.1-4.dcf"
"AcceptanceSampling","1.0-0","Archive/AcceptanceSampling/AcceptanceSampling_1.0-0.tar.gz","AcceptanceSampling_1.0-0.dcf"
"AcceptanceSampling","1.0-1","Archive/AcceptanceSampling/AcceptanceSampling_1.0-1.tar.gz","AcceptanceSampling_1.0-1.dcf"
"AcceptanceSampling","1.0-2","Archive/AcceptanceSampling/AcceptanceSampling_1.0-2.tar.gz","AcceptanceSampling_1.0-2.dcf"
"ACCLMA","1.0","ACCLMA_1.0.tar.gz","ACCLMA_1.0.dcf"
"accrued","1.0","accrued_1.0.tar.gz","accrued_1.0.dcf"
"accuracy","0.96","Archive/accuracy/accuracy_0.96.tar.gz","accuracy_0.96.dcf"
"accuracy","0.97","Archive/accuracy/accuracy_0.97.tar.gz","accuracy_0.97.dcf"
"accuracy","0.98","Archive/accuracy/accuracy_0.98.tar.gz","accuracy_0.98.dcf"
"accuracy","1.02","Archive/accuracy/accuracy_1.02.tar.gz","accuracy_1.02.dcf"
"accuracy","1.03","Archive/accuracy/accuracy_1.03.tar.gz","accuracy_1.03.dcf"
"accuracy","1.04","Archive/accuracy/accuracy_1.04.tar.gz","accuracy_1.04.dcf"
"accuracy","1.05","Archive/accuracy/accuracy_1.05.tar.gz","accuracy_1.05.dcf"
"accuracy","1.06","Archive/accuracy/accuracy_1.06.tar.gz","accuracy_1.06.dcf"
"accuracy","1.07","Archive/accuracy/accuracy_1.07.tar.gz","accuracy_1.07.dcf"
"accuracy","1.08","Archive/accuracy/accuracy_1.08.tar.gz","accuracy_1.08.dcf"
"accuracy","1.09","Archive/accuracy/accuracy_1.09.tar.gz","accuracy_1.09.dcf"
"accuracy","1.10","Archive/accuracy/accuracy_1.10.tar.gz","accuracy_1.10.dcf"
"accuracy","1.11","Archive/accuracy/accuracy_1.11.tar.gz","accuracy_1.11.dcf"
"accuracy","1.12","Archive/accuracy/accuracy_1.12.tar.gz","accuracy_1.12.dcf"
"accuracy","1.14","Archive/accuracy/accuracy_1.14.tar.gz","accuracy_1.14.dcf"
"accuracy","1.17","Archive/accuracy/accuracy_1.17.tar.gz","accuracy_1.17.dcf"
"accuracy","1.18","Archive/accuracy/accuracy_1.18.tar.gz","accuracy_1.18.dcf"
"accuracy","1.19","Archive/accuracy/accuracy_1.19.tar.gz","accuracy_1.19.dcf"
"accuracy","1.24","Archive/accuracy/accuracy_1.24.tar.gz","accuracy_1.24.dcf"
"accuracy","1.26","Archive/accuracy/accuracy_1.26.tar.gz","accuracy_1.26.dcf"
"accuracy","1.28","Archive/accuracy/accuracy_1.28.tar.gz","accuracy_1.28.dcf"
"accuracy","1.29","Archive/accuracy/accuracy_1.29.tar.gz","accuracy_1.29.dcf"
"accuracy","1.31","Archive/accuracy/accuracy_1.31.tar.gz","accuracy_1.31.dcf"
"accuracy","1.32","Archive/accuracy/accuracy_1.32.tar.gz","accuracy_1.32.dcf"
"accuracy","1.33","Archive/accuracy/accuracy_1.33.tar.gz","accuracy_1.33.dcf"
"accuracy","1.34","Archive/accuracy/accuracy_1.34.tar.gz","accuracy_1.34.dcf"
"accuracy","1.35","Archive/accuracy/accuracy_1.35.tar.gz","accuracy_1.35.dcf"
"ACD","1.0-0","Archive/ACD/ACD_1.0-0.tar.gz","ACD_1.0-0.dcf"
"ACD","1.5","Archive/ACD/ACD_1.5.tar.gz","ACD_1.5.dcf"
"ACD","1.5.3","ACD_1.5.3.tar.gz","ACD_1.5.3.dcf"
"Ace","0.0.8","Ace_0.0.8.tar.gz","Ace_0.0.8.dcf"
"acepack","1.1","Archive/acepack/acepack_1.1.tar.gz","acepack_1.1.dcf"
"acepack","1.2-1","Archive/acepack/acepack_1.2-1.tar.gz","acepack_1.2-1.dcf"
"acepack","1.2-2","Archive/acepack/acepack_1.2-2.tar.gz","acepack_1.2-2.dcf"
"acepack","1.3-2.1","Archive/acepack/acepack_1.3-2.1.tar.gz","acepack_1.3-2.1.dcf"
"acepack","1.3-2.2","Archive/acepack/acepack_1.3-2.2.tar.gz","acepack_1.3-2.2.dcf"
"acepack","1.3-2.3","Archive/acepack/acepack_1.3-2.3.tar.gz","acepack_1.3-2.3.dcf"
"acepack","1.3-2","Archive/acepack/acepack_1.3-2.tar.gz","acepack_1.3-2.dcf"
"acepack","1.3-3.0","Archive/acepack/acepack_1.3-3.0.tar.gz","acepack_1.3-3.0.dcf"
"acepack","1.3-3.1","Archive/acepack/acepack_1.3-3.1.tar.gz","acepack_1.3-3.1.dcf"
"acepack","1.3-3.2","Archive/acepack/acepack_1.3-3.2.tar.gz","acepack_1.3-3.2.dcf"
"acepack","1.3","Archive/acepack/acepack_1.3.tar.gz","acepack_1.3.dcf"
"acepack","1.3-3.3","acepack_1.3-3.3.tar.gz","acepack_1.3-3.3.dcf"
"acer","0.1","Archive/acer/acer_0.1.tar.gz","acer_0.1.dcf"
"acer","0.1.2","acer_0.1.2.tar.gz","acer_0.1.2.dcf"
"aCGH.Spline","1.0","Archive/aCGH.Spline/aCGH.Spline_1.0.tar.gz","aCGH.Spline_1.0.dcf"
"aCGH.Spline","2.1","Archive/aCGH.Spline/aCGH.Spline_2.1.tar.gz","aCGH.Spline_2.1.dcf"
"aCGH.Spline","2.2","aCGH.Spline_2.2.tar.gz","aCGH.Spline_2.2.dcf"
"acm4r","1.0","acm4r_1.0.tar.gz","acm4r_1.0.dcf"
"ACNE","0.4.3","Archive/ACNE/ACNE_0.4.3.tar.gz","ACNE_0.4.3.dcf"
"ACNE","0.5.0","Archive/ACNE/ACNE_0.5.0.tar.gz","ACNE_0.5.0.dcf"
"ACNE","0.7.0","ACNE_0.7.0.tar.gz","ACNE_0.7.0.dcf"
"acopula","0.9.1","Archive/acopula/acopula_0.9.1.tar.gz","acopula_0.9.1.dcf"
"acopula","0.9","Archive/acopula/acopula_0.9.tar.gz","acopula_0.9.dcf"
"acopula","0.9.2","acopula_0.9.2.tar.gz","acopula_0.9.2.dcf"
"aCRM","0.1.0","aCRM_0.1.0.tar.gz","aCRM_0.1.0.dcf"
"acs","0.5","Archive/acs/acs_0.5.tar.gz","acs_0.5.dcf"
"acs","0.8","Archive/acs/acs_0.8.tar.gz","acs_0.8.dcf"
"acs","1.0","Archive/acs/acs_1.0.tar.gz","acs_1.0.dcf"
"acs","1.1","acs_1.1.tar.gz","acs_1.1.dcf"
"ACTCD","1.0-0","ACTCD_1.0-0.tar.gz","ACTCD_1.0-0.dcf"
"Actigraphy","1.0","Archive/Actigraphy/Actigraphy_1.0.tar.gz","Actigraphy_1.0.dcf"
"Actigraphy","1.1","Archive/Actigraphy/Actigraphy_1.1.tar.gz","Actigraphy_1.1.dcf"
"Actigraphy","1.2","Actigraphy_1.2.tar.gz","Actigraphy_1.2.dcf"
"actuar","0.1-2","Archive/actuar/actuar_0.1-2.tar.gz","actuar_0.1-2.dcf"
"actuar","0.1-3","Archive/actuar/actuar_0.1-3.tar.gz","actuar_0.1-3.dcf"
"actuar","0.9-1","Archive/actuar/actuar_0.9-1.tar.gz","actuar_0.9-1.dcf"
"actuar","0.9-2","Archive/actuar/actuar_0.9-2.tar.gz","actuar_0.9-2.dcf"
"actuar","0.9-3","Archive/actuar/actuar_0.9-3.tar.gz","actuar_0.9-3.dcf"
"actuar","0.9-4","Archive/actuar/actuar_0.9-4.tar.gz","actuar_0.9-4.dcf"
"actuar","0.9-5","Archive/actuar/actuar_0.9-5.tar.gz","actuar_0.9-5.dcf"
"actuar","0.9-6","Archive/actuar/actuar_0.9-6.tar.gz","actuar_0.9-6.dcf"
"actuar","0.9-7","Archive/actuar/actuar_0.9-7.tar.gz","actuar_0.9-7.dcf"
"actuar","1.0-0","Archive/actuar/actuar_1.0-0.tar.gz","actuar_1.0-0.dcf"
"actuar","1.0-1","Archive/actuar/actuar_1.0-1.tar.gz","actuar_1.0-1.dcf"
"actuar","1.0-2","Archive/actuar/actuar_1.0-2.tar.gz","actuar_1.0-2.dcf"
"actuar","1.1-0","Archive/actuar/actuar_1.1-0.tar.gz","actuar_1.1-0.dcf"
"actuar","1.1-1","Archive/actuar/actuar_1.1-1.tar.gz","actuar_1.1-1.dcf"
"actuar","1.1-2","Archive/actuar/actuar_1.1-2.tar.gz","actuar_1.1-2.dcf"
"actuar","1.1-3","Archive/actuar/actuar_1.1-3.tar.gz","actuar_1.1-3.dcf"
"actuar","1.1-4","Archive/actuar/actuar_1.1-4.tar.gz","actuar_1.1-4.dcf"
"actuar","1.1-5","Archive/actuar/actuar_1.1-5.tar.gz","actuar_1.1-5.dcf"
"actuar","1.1-6","actuar_1.1-6.tar.gz","actuar_1.1-6.dcf"
"ActuDistns","1.0","Archive/ActuDistns/ActuDistns_1.0.tar.gz","ActuDistns_1.0.dcf"
"ActuDistns","2.0","Archive/ActuDistns/ActuDistns_2.0.tar.gz","ActuDistns_2.0.dcf"
"ActuDistns","3.0","ActuDistns_3.0.tar.gz","ActuDistns_3.0.dcf"
"ada","2.0-1","Archive/ada/ada_2.0-1.tar.gz","ada_2.0-1.dcf"
"ada","2.0-2","Archive/ada/ada_2.0-2.tar.gz","ada_2.0-2.dcf"
"ada","2.0-3","ada_2.0-3.tar.gz","ada_2.0-3.dcf"
"adabag","1.0","Archive/adabag/adabag_1.0.tar.gz","adabag_1.0.dcf"
"adabag","1.1","Archive/adabag/adabag_1.1.tar.gz","adabag_1.1.dcf"
"adabag","2.0","Archive/adabag/adabag_2.0.tar.gz","adabag_2.0.dcf"
"adabag","2.1","Archive/adabag/adabag_2.1.tar.gz","adabag_2.1.dcf"
"adabag","3.0","Archive/adabag/adabag_3.0.tar.gz","adabag_3.0.dcf"
"adabag","3.1","Archive/adabag/adabag_3.1.tar.gz","adabag_3.1.dcf"
"adabag","3.2","adabag_3.2.tar.gz","adabag_3.2.dcf"
"ADaCGH","1.3-10","Archive/ADaCGH/ADaCGH_1.3-10.tar.gz","ADaCGH_1.3-10.dcf"
"ADaCGH","1.3-13","Archive/ADaCGH/ADaCGH_1.3-13.tar.gz","ADaCGH_1.3-13.dcf"
"ADaCGH","1.3-1","Archive/ADaCGH/ADaCGH_1.3-1.tar.gz","ADaCGH_1.3-1.dcf"
"ADaCGH","1.3-4","Archive/ADaCGH/ADaCGH_1.3-4.tar.gz","ADaCGH_1.3-4.dcf"
"ADaCGH","1.3-7","Archive/ADaCGH/ADaCGH_1.3-7.tar.gz","ADaCGH_1.3-7.dcf"
"ADaCGH","1.3-9","Archive/ADaCGH/ADaCGH_1.3-9.tar.gz","ADaCGH_1.3-9.dcf"
"ADaCGH","1.3","Archive/ADaCGH/ADaCGH_1.3.tar.gz","ADaCGH_1.3.dcf"
"ADaCGH","1.5-3","Archive/ADaCGH/ADaCGH_1.5-3.tar.gz","ADaCGH_1.5-3.dcf"
"adagio","0.2.8","Archive/adagio/adagio_0.2.8.tar.gz","adagio_0.2.8.dcf"
"adagio","0.3.5","Archive/adagio/adagio_0.3.5.tar.gz","adagio_0.3.5.dcf"
"adagio","0.4.3","Archive/adagio/adagio_0.4.3.tar.gz","adagio_0.4.3.dcf"
"adagio","0.5.9","adagio_0.5.9.tar.gz","adagio_0.5.9.dcf"
"AdapEnetClass","1.0","AdapEnetClass_1.0.tar.gz","AdapEnetClass_1.0.dcf"
"adapt","1.0-3","Archive/adapt/adapt_1.0-3.tar.gz","adapt_1.0-3.dcf"
"adapt","1.0-4","Archive/adapt/adapt_1.0-4.tar.gz","adapt_1.0-4.dcf"
"adapt","1.0","Archive/adapt/adapt_1.0.tar.gz","adapt_1.0.dcf"
"AdaptFit","0.1-1","Archive/AdaptFit/AdaptFit_0.1-1.tar.gz","AdaptFit_0.1-1.dcf"
"AdaptFit","0.2-0","Archive/AdaptFit/AdaptFit_0.2-0.tar.gz","AdaptFit_0.2-0.dcf"
"AdaptFit","0.2-1","Archive/AdaptFit/AdaptFit_0.2-1.tar.gz","AdaptFit_0.2-1.dcf"
"AdaptFit","0.2-2","AdaptFit_0.2-2.tar.gz","AdaptFit_0.2-2.dcf"
"AdaptFitOS","0.43","Archive/AdaptFitOS/AdaptFitOS_0.43.tar.gz","AdaptFitOS_0.43.dcf"
"AdaptFitOS","0.45","AdaptFitOS_0.45.tar.gz","AdaptFitOS_0.45.dcf"
"AdaptiveSparsity","1.1","Archive/AdaptiveSparsity/AdaptiveSparsity_1.1.tar.gz","AdaptiveSparsity_1.1.dcf"
"AdaptiveSparsity","1.2","Archive/AdaptiveSparsity/AdaptiveSparsity_1.2.tar.gz","AdaptiveSparsity_1.2.dcf"
"AdaptiveSparsity","1.3","Archive/AdaptiveSparsity/AdaptiveSparsity_1.3.tar.gz","AdaptiveSparsity_1.3.dcf"
"AdaptiveSparsity","1.4","AdaptiveSparsity_1.4.tar.gz","AdaptiveSparsity_1.4.dcf"
"adaptivetau","0.901","Archive/adaptivetau/adaptivetau_0.901.tar.gz","adaptivetau_0.901.dcf"
"adaptivetau","0.902","Archive/adaptivetau/adaptivetau_0.902.tar.gz","adaptivetau_0.902.dcf"
"adaptivetau","0.9","Archive/adaptivetau/adaptivetau_0.9.tar.gz","adaptivetau_0.9.dcf"
"adaptivetau","1.0","Archive/adaptivetau/adaptivetau_1.0.tar.gz","adaptivetau_1.0.dcf"
"adaptivetau","1.1","Archive/adaptivetau/adaptivetau_1.1.tar.gz","adaptivetau_1.1.dcf"
"adaptivetau","1.1-1","adaptivetau_1.1-1.tar.gz","adaptivetau_1.1-1.dcf"
"adaptMCMC","1.0.2","Archive/adaptMCMC/adaptMCMC_1.0.2.tar.gz","adaptMCMC_1.0.2.dcf"
"adaptMCMC","1.0.3","Archive/adaptMCMC/adaptMCMC_1.0.3.tar.gz","adaptMCMC_1.0.3.dcf"
"adaptMCMC","1.0","Archive/adaptMCMC/adaptMCMC_1.0.tar.gz","adaptMCMC_1.0.dcf"
"adaptMCMC","1.1","adaptMCMC_1.1.tar.gz","adaptMCMC_1.1.dcf"
"adaptsmoFMRI","1.0","Archive/adaptsmoFMRI/adaptsmoFMRI_1.0.tar.gz","adaptsmoFMRI_1.0.dcf"
"adaptsmoFMRI","1.1","adaptsmoFMRI_1.1.tar.gz","adaptsmoFMRI_1.1.dcf"
"adaptTest","1.0","adaptTest_1.0.tar.gz","adaptTest_1.0.dcf"
"ade4","1.00","Archive/ade4/ade4_1.00.tar.gz","ade4_1.00.dcf"
"ade4","1.01","Archive/ade4/ade4_1.01.tar.gz","ade4_1.01.dcf"
"ade4","1.02","Archive/ade4/ade4_1.02.tar.gz","ade4_1.02.dcf"
"ade4","1.03","Archive/ade4/ade4_1.03.tar.gz","ade4_1.03.dcf"
"ade4","1.04","Archive/ade4/ade4_1.04.tar.gz","ade4_1.04.dcf"
"ade4","1.1-1","Archive/ade4/ade4_1.1-1.tar.gz","ade4_1.1-1.dcf"
"ade4","1.1-2","Archive/ade4/ade4_1.1-2.tar.gz","ade4_1.1-2.dcf"
"ade4","1.2-1","Archive/ade4/ade4_1.2-1.tar.gz","ade4_1.2-1.dcf"
"ade4","1.2-2","Archive/ade4/ade4_1.2-2.tar.gz","ade4_1.2-2.dcf"
"ade4","1.3-2","Archive/ade4/ade4_1.3-2.tar.gz","ade4_1.3-2.dcf"
"ade4","1.3-3","Archive/ade4/ade4_1.3-3.tar.gz","ade4_1.3-3.dcf"
"ade4","1.4-0","Archive/ade4/ade4_1.4-0.tar.gz","ade4_1.4-0.dcf"
"ade4","1.4-10","Archive/ade4/ade4_1.4-10.tar.gz","ade4_1.4-10.dcf"
"ade4","1.4-11","Archive/ade4/ade4_1.4-11.tar.gz","ade4_1.4-11.dcf"
"ade4","1.4-13","Archive/ade4/ade4_1.4-13.tar.gz","ade4_1.4-13.dcf"
"ade4","1.4-14","Archive/ade4/ade4_1.4-14.tar.gz","ade4_1.4-14.dcf"
"ade4","1.4-16","Archive/ade4/ade4_1.4-16.tar.gz","ade4_1.4-16.dcf"
"ade4","1.4-17","Archive/ade4/ade4_1.4-17.tar.gz","ade4_1.4-17.dcf"
"ade4","1.4-1","Archive/ade4/ade4_1.4-1.tar.gz","ade4_1.4-1.dcf"
"ade4","1.4-2","Archive/ade4/ade4_1.4-2.tar.gz","ade4_1.4-2.dcf"
"ade4","1.4-3","Archive/ade4/ade4_1.4-3.tar.gz","ade4_1.4-3.dcf"
"ade4","1.4-4","Archive/ade4/ade4_1.4-4.tar.gz","ade4_1.4-4.dcf"
"ade4","1.4-5","Archive/ade4/ade4_1.4-5.tar.gz","ade4_1.4-5.dcf"
"ade4","1.4-7","Archive/ade4/ade4_1.4-7.tar.gz","ade4_1.4-7.dcf"
"ade4","1.4-8","Archive/ade4/ade4_1.4-8.tar.gz","ade4_1.4-8.dcf"
"ade4","1.4-9","Archive/ade4/ade4_1.4-9.tar.gz","ade4_1.4-9.dcf"
"ade4","1.5-0","Archive/ade4/ade4_1.5-0.tar.gz","ade4_1.5-0.dcf"
"ade4","1.5-1","Archive/ade4/ade4_1.5-1.tar.gz","ade4_1.5-1.dcf"
"ade4","1.5-2","Archive/ade4/ade4_1.5-2.tar.gz","ade4_1.5-2.dcf"
"ade4","1.6-1","Archive/ade4/ade4_1.6-1.tar.gz","ade4_1.6-1.dcf"
"ade4","1.6-2","ade4_1.6-2.tar.gz","ade4_1.6-2.dcf"
"ade4TkGUI","0.1-4","Archive/ade4TkGUI/ade4TkGUI_0.1-4.tar.gz","ade4TkGUI_0.1-4.dcf"
"ade4TkGUI","0.2-1","Archive/ade4TkGUI/ade4TkGUI_0.2-1.tar.gz","ade4TkGUI_0.2-1.dcf"
"ade4TkGUI","0.2-2","Archive/ade4TkGUI/ade4TkGUI_0.2-2.tar.gz","ade4TkGUI_0.2-2.dcf"
"ade4TkGUI","0.2-3","Archive/ade4TkGUI/ade4TkGUI_0.2-3.tar.gz","ade4TkGUI_0.2-3.dcf"
"ade4TkGUI","0.2-4","Archive/ade4TkGUI/ade4TkGUI_0.2-4.tar.gz","ade4TkGUI_0.2-4.dcf"
"ade4TkGUI","0.2-5","Archive/ade4TkGUI/ade4TkGUI_0.2-5.tar.gz","ade4TkGUI_0.2-5.dcf"
"ade4TkGUI","0.2-6","ade4TkGUI_0.2-6.tar.gz","ade4TkGUI_0.2-6.dcf"
"adegenet","1.0-0","Archive/adegenet/adegenet_1.0-0.tar.gz","adegenet_1.0-0.dcf"
"adegenet","1.0-1","Archive/adegenet/adegenet_1.0-1.tar.gz","adegenet_1.0-1.dcf"
"adegenet","1.0-2","Archive/adegenet/adegenet_1.0-2.tar.gz","adegenet_1.0-2.dcf"
"adegenet","1.1-0","Archive/adegenet/adegenet_1.1-0.tar.gz","adegenet_1.1-0.dcf"
"adegenet","1.1-1","Archive/adegenet/adegenet_1.1-1.tar.gz","adegenet_1.1-1.dcf"
"adegenet","1.1-2","Archive/adegenet/adegenet_1.1-2.tar.gz","adegenet_1.1-2.dcf"
"adegenet","1.2-0","Archive/adegenet/adegenet_1.2-0.tar.gz","adegenet_1.2-0.dcf"
"adegenet","1.2-1","Archive/adegenet/adegenet_1.2-1.tar.gz","adegenet_1.2-1.dcf"
"adegenet","1.2-2","Archive/adegenet/adegenet_1.2-2.tar.gz","adegenet_1.2-2.dcf"
"adegenet","1.2-3","Archive/adegenet/adegenet_1.2-3.tar.gz","adegenet_1.2-3.dcf"
"adegenet","1.2-4","Archive/adegenet/adegenet_1.2-4.tar.gz","adegenet_1.2-4.dcf"
"adegenet","1.2-5","Archive/adegenet/adegenet_1.2-5.tar.gz","adegenet_1.2-5.dcf"
"adegenet","1.2-6","Archive/adegenet/adegenet_1.2-6.tar.gz","adegenet_1.2-6.dcf"
"adegenet","1.2-7","Archive/adegenet/adegenet_1.2-7.tar.gz","adegenet_1.2-7.dcf"
"adegenet","1.2-8","Archive/adegenet/adegenet_1.2-8.tar.gz","adegenet_1.2-8.dcf"
"adegenet","1.3-0","Archive/adegenet/adegenet_1.3-0.tar.gz","adegenet_1.3-0.dcf"
"adegenet","1.3-1","Archive/adegenet/adegenet_1.3-1.tar.gz","adegenet_1.3-1.dcf"
"adegenet","1.3-2","Archive/adegenet/adegenet_1.3-2.tar.gz","adegenet_1.3-2.dcf"
"adegenet","1.3-3","Archive/adegenet/adegenet_1.3-3.tar.gz","adegenet_1.3-3.dcf"
"adegenet","1.3-4","Archive/adegenet/adegenet_1.3-4.tar.gz","adegenet_1.3-4.dcf"
"adegenet","1.3-5","Archive/adegenet/adegenet_1.3-5.tar.gz","adegenet_1.3-5.dcf"
"adegenet","1.3-6","Archive/adegenet/adegenet_1.3-6.tar.gz","adegenet_1.3-6.dcf"
"adegenet","1.3-7","Archive/adegenet/adegenet_1.3-7.tar.gz","adegenet_1.3-7.dcf"
"adegenet","1.3-8","Archive/adegenet/adegenet_1.3-8.tar.gz","adegenet_1.3-8.dcf"
"adegenet","1.3-9.1","Archive/adegenet/adegenet_1.3-9.1.tar.gz","adegenet_1.3-9.1.dcf"
"adegenet","1.3-9","Archive/adegenet/adegenet_1.3-9.tar.gz","adegenet_1.3-9.dcf"
"adegenet","1.3-9.2","adegenet_1.3-9.2.tar.gz","adegenet_1.3-9.2.dcf"
"adehabitat","1.1-1","Archive/adehabitat/adehabitat_1.1-1.tar.gz","adehabitat_1.1-1.dcf"
"adehabitat","1.1","Archive/adehabitat/adehabitat_1.1.tar.gz","adehabitat_1.1.dcf"
"adehabitat","1.2-1","Archive/adehabitat/adehabitat_1.2-1.tar.gz","adehabitat_1.2-1.dcf"
"adehabitat","1.2","Archive/adehabitat/adehabitat_1.2.tar.gz","adehabitat_1.2.dcf"
"adehabitat","1.3","Archive/adehabitat/adehabitat_1.3.tar.gz","adehabitat_1.3.dcf"
"adehabitat","1.4-1","Archive/adehabitat/adehabitat_1.4-1.tar.gz","adehabitat_1.4-1.dcf"
"adehabitat","1.4","Archive/adehabitat/adehabitat_1.4.tar.gz","adehabitat_1.4.dcf"
"adehabitat","1.5-1","Archive/adehabitat/adehabitat_1.5-1.tar.gz","adehabitat_1.5-1.dcf"
"adehabitat","1.5-2","Archive/adehabitat/adehabitat_1.5-2.tar.gz","adehabitat_1.5-2.dcf"
"adehabitat","1.5-3","Archive/adehabitat/adehabitat_1.5-3.tar.gz","adehabitat_1.5-3.dcf"
"adehabitat","1.5","Archive/adehabitat/adehabitat_1.5.tar.gz","adehabitat_1.5.dcf"
"adehabitat","1.6-1","Archive/adehabitat/adehabitat_1.6-1.tar.gz","adehabitat_1.6-1.dcf"
"adehabitat","1.6-2","Archive/adehabitat/adehabitat_1.6-2.tar.gz","adehabitat_1.6-2.dcf"
"adehabitat","1.7.1","Archive/adehabitat/adehabitat_1.7.1.tar.gz","adehabitat_1.7.1.dcf"
"adehabitat","1.7.2","Archive/adehabitat/adehabitat_1.7.2.tar.gz","adehabitat_1.7.2.dcf"
"adehabitat","1.7.3","Archive/adehabitat/adehabitat_1.7.3.tar.gz","adehabitat_1.7.3.dcf"
"adehabitat","1.7","Archive/adehabitat/adehabitat_1.7.tar.gz","adehabitat_1.7.dcf"
"adehabitat","1.8.0","Archive/adehabitat/adehabitat_1.8.0.tar.gz","adehabitat_1.8.0.dcf"
